PLAYER,ACS,ADR,K/D,K,D,A,RP,KPR,ESR,HS%,FBPR,DPR,1vX,MK,FB,FD,ECON,PL,DE
&&&&TenZ&&&&Cloud9 Blue&&&,270,160,1.33,195,147,45,202,0.97,61%,17%,0.19,0.73,2,56,39,25,63.2,4,2
&&&&thief&&&&Luminosity Gaming&&&,250,149.4,1.25,120,96,23,136,0.88,53%,26%,0.13,0.71,2,36,18,16,58,9,4
&&&&XXiF&&&&Pittsburgh Knights&&&,241,151.8,1,65,65,14,81,0.8,68%,24%,0.19,0.8,0,18,15,7,62.8,0,0
&&&&Shawn&&&&&Gen.G Esports&&&,240,148,1.23,119,97,51,146,0.82,58%,24%,0.14,0.66,4,32,21,15,56,2,3
&&&&gMd&&&&&Gen.G Esports&&&,238,153.1,1.39,125,90,46,146,0.86,42%,29%,0.08,0.62,3,33,11,15,67.4,8,3
&&&&scourge&&&&ex-Serenity&&&,237,149.3,1.05,126,120,38,158,0.8,47%,24%,0.15,0.76,4,34,24,27,57,2,6
&&&&yay&&&&&Andbox&&&,237,142,1.22,82,67,18,96,0.85,45%,22%,0.1,0.7,3,22,10,12,53,5,3
&&&&drone&&&&&TSM&&&,237,146.9,1.24,241,195,59,288,0.84,51%,29%,0.12,0.68,8,67,35,33,60.2,15,17
&&&&Wardell&&&&&TSM&&&,235,153,1.46,256,175,32,288,0.89,79%,21%,0.15,0.61,5,62,42,11,67.7,19,7
&&&&Corey&&&&FaZe Clan&&&,235,165,1.11,249,225,68,315,0.79,57%,26%,0.16,0.71,6,65,49,37,63.1,14,9
&&&&jcStani&&&&Immortals&&&,233,136.6,1.26,226,180,81,271,0.83,57%,25%,0.1,0.66,9,60,27,20,60,47,5
&&&&Shanks&&&&Immortals&&&,232,139.5,1.09,150,138,53,192,0.78,51%,20%,0.17,0.72,0,35,32,31,55.8,9,0
&&&&ANDROID&&&&&Andbox&&&,231,150.3,1.18,85,72,17,96,0.89,67%,28%,0.15,0.75,1,21,14,7,51.3,3,3
